Country,Company Name,Year,Sector,DealType,DealSubtype, Proceeds ($ millions) ,RealSector
Hungary,Szabad Föld Lapkiadó Részvénytársaság,1996,Services,,, 0.63 ,Industry
Hungary,PANNON Sütô Kft.,1996,Services,,, 0.63 ,Industry
Hungary,BHG-Karcag Alkatrészgyártó Kft,1996,Services,,, 0.63 ,Industry
Hungary,Észak-dunántúli Téglaipari Rt.,1996,Services,,, 0.64 ,Industry
Hungary,Szentgotthárdi Kaszagyár Rt.,1996,Services,,, 0.69 ,Industry
Hungary,VESZPA Veszprémi Patyolat Kft.,1996,Services,,, 0.71 ,Services
Hungary,Somogy Megyei Nyomdaipari Kft.,1996,Services,,, 0.73 ,Industry
Hungary,Metrimpex Rt.,1996,Services,,, 0.80 ,Trade
Hungary,Dombóvári Kazán- és Gépgyártó Kft.,1996,Services,,, 0.81 ,Industry
Hungary,Egyesült Vegyimüvek Rt.,1996,Services,,, 0.81 ,Industry
Hungary,Sütôipari Szolgáltató Rt.,1996,Services,,, 0.81 ,Industry
Hungary,Homparkett Hosszúhetényi Parkettagyártó és Flrészipari Rt.,1996,Services,,, 1.00 ,Industry
Hungary,Gyulai Húskombinát RT,1996,Services,,, 0.82 ,Industry
Hungary,Videovox Korlátolt Felelôsségl Társaság,1996,Services,,, 0.84 ,Services
Hungary,SVT-Wamsler Háztartástechnikai Rt.,1996,Services,,, 0.86 ,Industry
Hungary,HUNICOOP Ipari Kooperációs Külkereskedelmi Részvénytársaság,1996,Services,,, 1.00 ,Trade
Hungary,INNO-MARKT Kereskedelmi és Szolgáltató Kft.,1996,Services,,, 0.87 ,Trade
Hungary,Palace Kft.,1996,Services,,, 0.90 ,Tourism
Hungary,Kaposvári AGROKER Mezôgazdasági Termelôeszköz Ker. Rt.,1996,Services,,, 1.00 ,Trade
Hungary,Borsodi Gabonaipari Rt.,1996,Services,,, 1.00 ,Industry
Hungary,Lágymányosi Sütôipari és Kereskedelmi Rt.,1996,Services,,, 1.13 ,Industry
Hungary,"ÉPTEK Alsózsolca Szolgáltató, Kereskedelmi és Ipari Kft.",1996,Services,,, 1.00 ,Trade
Hungary,Alföldi Gabonaipari Részvénytársaság,1996,Services,,, 1.24 ,Industry
Hungary,KOMPLEX Nagyatádi Gépipari Vállalkozó Rt.,1996,Services,,, 1.27 ,Industry
Hungary,Zalatej Részvénytársaság,1996,Services,,, 1.29 ,Industry
Hungary,Szolnoki Papírgyár Kft.,1996,Services,,, 1.31 ,Industry
Hungary,GRANTE Antenna Fejlesztô és Gyártó Részvénytársaság,1996,Services,,, 1.00 ,Industry
Hungary,Thermál Hotel Aquincum Kft.,1996,Services,,, 1.34 ,Tourism
Hungary,PERFEKT Pénzügyi Szakoktató és Kiadó Rt.,1996,Services,,, 1.35 ,Industry
Hungary,Temaforg Kunszentmiklós Kft.,1996,Services,,, 1.38 ,Industry
Hungary,MOM Vízméréstechnikai Rt.,1996,Services,,, 1.43 ,Industry
